node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7539	[7539] cluster pgp-6	WBGene00006627	tsp-1	1302.89	0.594	False	CEPsoVL WBbt:0004918	intestine WBbt:0005772; PVD WBbt:0006831; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; ABprpaaaap WBbt:0006721; rectal valve cell WBbt:0005797; ABplpaaaap WBbt:0006528; pharyngeal-intestinal valve WBbt:0005767; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7539	[7539] cluster pgp-6	WBGene00004000	pgp-6	1493.35	0.549	True	CEPsoVL WBbt:0004918	SIA WBbt:0005361; AVA WBbt:0005842; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DVA WBbt:0004823; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; AS1 WBbt:0003925; RIP WBbt:0006838; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; AVB WBbt:0005841; VB1 WBbt:0004643
7539	[7539] cluster pgp-6	WBGene00003999	pgp-5	957.12	0.536	True	CEPsoVL WBbt:0004918	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; dorsal uterine cell WBbt:0006782; vulD WBbt:0006766; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; intestine WBbt:0005772; vulF WBbt:0006768; vulC WBbt:0006765; epithelial system WBbt:0005730; pm2 WBbt:0003742; CEPsoVL WBbt:0004918; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; vulB1 WBbt:0006763; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; AVB WBbt:0005841; NSM WBbt:0003666; ALA WBbt:0003955; male WBbt:0007850; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7539	[7539] cluster pgp-6	WBGene00006628	tsp-2	880.75	0.503	False	CEPsoVL WBbt:0004918	intestine WBbt:0005772; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; pharyngeal-intestinal valve WBbt:0005767; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7539	[7539] cluster pgp-6	WBGene00021464	ugt-31	986.04	0.497	False	CEPsoVL WBbt:0004918	dorsal uterine cell WBbt:0006782; spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; vulD WBbt:0006766; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; ut2 WBbt:0006786; vulC WBbt:0006765; ut3 WBbt:0006787; epithelial system WBbt:0005730; g2 WBbt:0003710; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; vulB1 WBbt:0006763; sex organ WBbt:0008422; uv2 WBbt:0006792; vulE WBbt:0006767; outer labial quadrant sensillum WBbt:0005502; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7539	[7539] cluster pgp-6	WBGene00000373	cyp-14A5	1094.0	0.464	False	CEPsoVL WBbt:0004918	dorsal uterine cell WBbt:0006782; hermaphrodite WBbt:0007849; intestine WBbt:0005772; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; hyp12 WBbt:0004376; nervous system WBbt:0005735; somatic gonad WBbt:0005785; sex organ WBbt:0008422; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7539	[7539] cluster pgp-6	WBGene00010705	cyp-14A1	132.85	0.464	False	CEPsoVL WBbt:0004918	PVC WBbt:0005840; AVE WBbt:0006819; AVA WBbt:0005842; hyp2 WBbt:0004692; AVG WBbt:0003850; AVD WBbt:0006818; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; retrovesicular ganglion WBbt:0005656; RIM WBbt:0005835; RIH WBbt:0003928
7539	[7539] cluster pgp-6	WBGene00021709	ugt-29	490.76	0.439	True	CEPsoVL WBbt:0004918	PVC WBbt:0005840; AVE WBbt:0006819; AVA WBbt:0005842; body wall WBbt:0005742; hermaphrodite WBbt:0007849; AVG WBbt:0003850; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; AVD WBbt:0006818; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABprapppaa WBbt:0006234; epithelial system WBbt:0005730; ABplapppaa WBbt:0005935; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; sex organ WBbt:0008422; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747; Caapa WBbt:0006123
7539	[7539] cluster pgp-6	WBGene00018966	F56D2.5	330.98	0.401	True	CEPsoVL WBbt:0004918	dorsal uterine cell WBbt:0006782; GLR WBbt:0005176; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; oocyte WBbt:0006797; nervous system WBbt:0005735; somatic gonad WBbt:0005785; PVR WBbt:0004072; sex organ WBbt:0008422; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7539	[7539] cluster pgp-6	WBGene00007835	oac-7	102.11	0.387	False	CEPsoVL WBbt:0004918	GLR WBbt:0005176; Z1.p WBbt:0007023; amphid sheath cell WBbt:0006754; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; Z4.a WBbt:0007025; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7539	[7539] cluster pgp-6	WBGene00022328	Y82E9BL.12	58.35	0.368	True	CEPsoVL WBbt:0004918	SIB WBbt:0005359; dorsal uterine cell WBbt:0006782; AVA WBbt:0005842; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; AVB WBbt:0005841; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7539	[7539] cluster pgp-6	WBGene00000632	col-55	29.7	0.328	False	CEPsoVL WBbt:0004918	lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072
7539	[7539] cluster pgp-6	WBGene00016762	ugt-24	424.45	0.31	True	CEPsoVL WBbt:0004918	gonad arm WBbt:0008629; pm5 WBbt:0003737; hermaphrodite distal tip cell WBbt:0006863; spermathecal-uterine junction WBbt:0006756; GLR WBbt:0005176; SIA WBbt:0005361; ut1 WBbt:0006785; mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; ut2 WBbt:0006786; ut3 WBbt:0006787; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; coelomic system WBbt:0005749; pharyngeal epithelial cell WBbt:0005459; sex organ WBbt:0008422; uv2 WBbt:0006792; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7539	[7539] cluster pgp-6	WBGene00014193	nhr-247	29.17	0.306	False	CEPsoVL WBbt:0004918	nervous system WBbt:0005735
7539	[7539] cluster pgp-6	WBGene00013947	ZK228.4	87.52	0.291	False	CEPsoVL WBbt:0004918	intestine WBbt:0005772; muscular system WBbt:0005737
